Meta-Val Tasks: [75.9999984741211, 0]
69Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
70Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
71Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [75.9999984741211, 0]
72Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999771118163, 0]
73Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999771118163, 0]
74Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [70.6666648864746, 0]
75Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [70.6666648864746, 0]
76Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [70.6666648864746, 0]
77Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [74.66666564941406, 0]
78Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
79Meta-Train Tasks: [89.99999732971192, 0]
Meta-Val Tasks: [69.33333129882813, 0]
80Meta-Train Tasks: [96.11110992431641, 0]
Meta-Val Tasks: [71.99999923706055, 0]
81Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [73.33333282470703, 0]
82Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999923706055, 0]
83Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [71.99999923706055, 0]
84Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [69.33333053588868, 0]
85Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333053588868, 0]
86Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333053588868, 0]
87Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333053588868, 0]
88Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333053588868, 0]
89Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333053588868, 0]
90Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333053588868, 0]
91Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333053588868, 0]
92Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333053588868, 0]
93Meta-Train Tasks: [77.083331489563, 0]
Meta-Val Tasks: [65.33333053588868, 0]
94Meta-Train Tasks: [92.49999809265137, 0]
Meta-Val Tasks: [67.99999771118163, 0]
