Meta-Val Tasks: [35.999999046325684, 0]
66Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [35.999999046325684, 0]
67Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [35.999999046325684, 0]
68Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [35.999999046325684, 0]
69Meta-Train Tasks: [99.58333320617676, 0]
Meta-Val Tasks: [34.666666221618655, 0]
70Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [34.666666221618655, 0]
71Meta-Train Tasks: [99.37499923706055, 0]
Meta-Val Tasks: [34.666666221618655, 0]
72Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [35.999999046325684, 0]
73Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [35.999999046325684, 0]
74Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [34.66666584014892, 0]
75Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [35.999999046325684, 0]
76Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [35.999999046325684, 0]
77Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [35.999999046325684, 0]
78Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [35.999999046325684, 0]
79Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [33.333332252502444, 0]
80Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [33.333332252502444, 0]
81Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [33.333332252502444, 0]
82Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [33.333332252502444, 0]
83Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [35.999999046325684, 0]
84Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [35.999999046325684, 0]
85Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [35.999999046325684, 0]
86Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [34.66666584014892, 0]
87Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [35.999999046325684, 0]
