Meta-Val Tasks: [94.66666259765626, 0]
66Meta-Train Tasks: [99.88095245361328, 0]
Meta-Val Tasks: [94.66666259765626, 0]
67Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666259765626, 0]
68Meta-Train Tasks: [99.88095245361328, 0]
Meta-Val Tasks: [94.66666259765626, 0]
68Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666259765626, 0]
69Meta-Train Tasks: [99.88095245361328, 0]
Meta-Val Tasks: [94.66666259765626, 0]
70Meta-Train Tasks: [99.88095245361328, 0]
Meta-Val Tasks: [94.66666259765626, 0]
71Meta-Train Tasks: [99.88095245361328, 0]
Meta-Val Tasks: [94.66666259765626, 0]
72Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666259765626, 0]
73Meta-Train Tasks: [99.52380981445313, 0]
Meta-Val Tasks: [94.66666259765626, 0]
74Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666259765626, 0]
75Meta-Train Tasks: [99.76190490722657, 0]
Meta-Val Tasks: [94.66666259765626, 0]
76Meta-Train Tasks: [99.76190490722657, 0]
Meta-Val Tasks: [94.66666259765626, 0]
77Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666259765626, 0]
78Meta-Train Tasks: [99.76190490722657, 0]
Meta-Val Tasks: [94.66666259765626, 0]
79Meta-Train Tasks: [99.76190490722657, 0]
Meta-Val Tasks: [94.66666259765626, 0]
80Meta-Train Tasks: [99.64285736083984, 0]
Meta-Val Tasks: [94.66666259765626, 0]
81Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666259765626, 0]
82Meta-Train Tasks: [99.76190490722657, 0]
Meta-Val Tasks: [94.66666259765626, 0]
83Meta-Train Tasks: [99.88095245361328, 0]
Meta-Val Tasks: [94.66666259765626, 0]
84Meta-Train Tasks: [99.88095245361328, 0]
Meta-Val Tasks: [94.66666259765626, 0]
