69Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
70Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
71Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
72Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
73Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
74Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
75Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
76Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
77Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
78Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
79Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
80Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
81Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
82Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
83Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
84Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
85Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
86Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
87Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
88Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [83.99999694824218, 0]
89Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
90Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [89.33332977294921, 0]
91Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666259765626, 0]
92Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666412353516, 0]
93Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.99999694824218, 0]
94Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [93.33332977294921, 0]
95Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [93.33332977294921, 0]
96Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
97Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
98Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
99Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [93.33332977294921, 0]
100Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
101Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
102Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
103Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
104Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [93.33332977294921, 0]
105Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
106Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
107Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
108Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
109Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
110Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
111Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
112Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
113Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
114Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
115Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
116Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
117Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
118Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
119Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
120Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
121Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
122Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
123Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
124Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
125Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
126Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
127Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
128Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
129Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
130Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
131Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
132Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
133Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [94.66666412353516, 0]
134Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
135Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
136Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
137Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
138Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
139Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
140Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
141Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
142Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
143Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
144Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
145Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
146Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [95.99999694824218, 0]
147Meta-Train Tasks: [100.0, 0]
