65Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [73.33333129882813, 0]
66Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [73.33333129882813, 0]
67Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [73.33333129882813, 0]
68Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [73.33333129882813, 0]
69Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [73.33333129882813, 0]
70Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [74.66666564941406, 0]
71Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [73.33333129882813, 0]
72Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [73.33333129882813, 0]
73Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [74.66666564941406, 0]
74Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666564941406, 0]
75Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [73.33333129882813, 0]
76Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
77Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [73.33333129882813, 0]
78Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [71.99999694824218, 0]
79Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [71.99999694824218, 0]
80Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [73.33333129882813, 0]
81Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [73.33333129882813, 0]
82Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [71.99999694824218, 0]
83Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [73.33333129882813, 0]
84Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [73.33333129882813, 0]
85Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [71.99999694824218, 0]
86Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [73.33333129882813, 0]
87Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [73.33333129882813, 0]
88Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [74.66666564941406, 0]
89Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666564941406, 0]
90Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666564941406, 0]
91Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666564941406, 0]
92Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
93Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666564941406, 0]
94Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666564941406, 0]
95Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [74.66666564941406, 0]
96Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666564941406, 0]
97Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [74.66666564941406, 0]
