Meta-Val Tasks: [53.333331451416015, 0]
66Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [56.79999786376953, 0]
67Meta-Train Tasks: [99.13333297729493, 0]
Meta-Val Tasks: [56.79999786376953, 0]
68Meta-Train Tasks: [99.39999954223633, 0]
Meta-Val Tasks: [54.66666488647461, 0]
69Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [53.59999885559082, 0]
70Meta-Train Tasks: [99.59999977111816, 0]
Meta-Val Tasks: [50.66666519165039, 0]
71Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [49.33333213806152, 0]
72Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [51.73333190917969, 0]
73Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [51.199998664855954, 0]
74Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [53.066665229797366, 0]
75Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [49.333331985473635, 0]
76Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [46.66666534423828, 0]
77Meta-Train Tasks: [99.59999969482422, 0]
Meta-Val Tasks: [48.266665344238284, 0]
78Meta-Train Tasks: [98.5333324432373, 0]
Meta-Val Tasks: [48.53333168029785, 0]
79Meta-Train Tasks: [98.6666658782959, 0]
Meta-Val Tasks: [55.999998321533205, 0]
80Meta-Train Tasks: [99.46666625976563, 0]
Meta-Val Tasks: [57.33333129882813, 0]
81Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [52.79999855041504, 0]
82Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [53.866665267944335, 0]
83Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [53.06666488647461, 0]
84Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [54.13333137512207, 0]
85Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [51.466664962768554, 0]
86Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [53.33333183288574, 0]
87Meta-Train Tasks: [99.53333305358886, 0]
Meta-Val Tasks: [51.46666488647461, 0]
88Meta-Train Tasks: [99.53333297729492, 0]
Meta-Val Tasks: [51.999998245239254, 0]
89Meta-Train Tasks: [99.59999969482422, 0]
Meta-Val Tasks: [51.19999862670898, 0]
90Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [50.133331832885744, 0]
91Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [52.26666526794433, 0]
92Meta-Train Tasks: [99.46666633605957, 0]
Meta-Val Tasks: [53.066665191650394, 0]
93Meta-Train Tasks: [99.53333305358886, 0]
Meta-Val Tasks: [51.19999900817871, 0]
94Meta-Train Tasks: [99.59999969482422, 0]
Meta-Val Tasks: [52.7999984741211, 0]
95Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [54.13333160400391, 0]
96Meta-Train Tasks: [99.53333297729492, 0]
Meta-Val Tasks: [50.66666572570801, 0]
97Meta-Train Tasks: [99.26666625976563, 0]
Meta-Val Tasks: [54.39999858856201, 0]
98Meta-Train Tasks: [99.59999977111816, 0]
Meta-Val Tasks: [53.066665496826175, 0]
99Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [52.799998931884765, 0]
100Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [52.799998931884765, 0]
101Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [52.26666549682617, 0]
102Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [54.9333317565918, 0]
103Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [54.666665954589845, 0]
