Meta-Val Tasks: [71.73333084106446, 0]
67Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [67.99999740600586, 0]
68Meta-Train Tasks: [99.39999961853027, 0]
Meta-Val Tasks: [61.86666458129883, 0]
69Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [62.66666442871094, 0]
70Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [63.99999755859375, 0]
71Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [64.26666397094726, 0]
72Meta-Train Tasks: [99.59999969482422, 0]
Meta-Val Tasks: [57.33333190917969, 0]
73Meta-Train Tasks: [98.79999938964843, 0]
Meta-Val Tasks: [69.59999786376953, 0]
74Meta-Train Tasks: [99.39999961853027, 0]
Meta-Val Tasks: [65.33333114624024, 0]
75Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [66.39999801635742, 0]
76Meta-Train Tasks: [99.53333297729492, 0]
Meta-Val Tasks: [67.19999786376952, 0]
77Meta-Train Tasks: [99.66666648864746, 0]
Meta-Val Tasks: [66.93333114624023, 0]
78Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [68.79999740600586, 0]
79Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.06666427612305, 0]
80Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [68.53333129882813, 0]
81Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [69.33333068847656, 0]
82Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.73333114624023, 0]
83Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.73333145141602, 0]
84Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.46666458129883, 0]
85Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.73333129882812, 0]
86Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.73333129882812, 0]
87Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.99999786376954, 0]
88Meta-Train Tasks: [99.46666625976563, 0]
Meta-Val Tasks: [58.1333309173584, 0]
89Meta-Train Tasks: [98.13333244323731, 0]
Meta-Val Tasks: [58.66666442871094, 0]
90Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [59.99999816894531, 0]
91Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [56.7999983215332, 0]
92Meta-Train Tasks: [99.26666625976563, 0]
Meta-Val Tasks: [60.5333317565918, 0]
93Meta-Train Tasks: [99.46666625976563, 0]
Meta-Val Tasks: [59.46666488647461, 0]
94Meta-Train Tasks: [99.53333305358886, 0]
Meta-Val Tasks: [54.9333317565918, 0]
95Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [54.133331756591794, 0]
96Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.13333198547363, 0]
97Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [57.8666650390625, 0]
98Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [57.33333190917969, 0]
99Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [57.33333190917969, 0]
100Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [57.33333190917969, 0]
101Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [57.33333190917969, 0]
102Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [57.33333190917969, 0]
103Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [57.59999862670898, 0]
104Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999847412109, 0]
105Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999786376953, 0]
106Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.66666442871094, 0]
107Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.66666442871094, 0]
108Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.66666442871094, 0]
109Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.66666442871094, 0]
110Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.19999771118164, 0]
111Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.46666458129883, 0]
112Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.46666458129883, 0]
113Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.733331298828126, 0]
114Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.733331298828126, 0]
115Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.46666458129883, 0]
116Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.19999801635742, 0]
117Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.13333160400391, 0]
118Meta-Train Tasks: [98.86666625976562, 0]
Meta-Val Tasks: [51.46666511535645, 0]
119Meta-Train Tasks: [98.93333259582519, 0]
Meta-Val Tasks: [54.133331756591794, 0]
120Meta-Train Tasks: [99.19999946594238, 0]
Meta-Val Tasks: [61.86666473388672, 0]
121Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [53.33333206176758, 0]
122Meta-Train Tasks: [99.59999969482422, 0]
Meta-Val Tasks: [59.999998321533205, 0]
123Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [58.39999816894531, 0]
124Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [57.86666519165039, 0]
125Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999847412109, 0]
126Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999847412109, 0]
127Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999847412109, 0]
128Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999847412109, 0]
129Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999847412109, 0]
130Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999847412109, 0]
131Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.39999847412109, 0]
132Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [57.599997940063474, 0]
133Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [59.99999786376953, 0]
134Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [59.19999801635742, 0]
135Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.59999809265137, 0]
136Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.7999984741211, 0]
137Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [64.5333319091797, 0]
138Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [65.8666650390625, 0]
139Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [65.06666488647461, 0]
140Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [65.06666488647461, 0]
141Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [65.06666488647461, 0]
142Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [65.06666488647461, 0]
143Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [65.06666488647461, 0]
144Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [63.199998168945314, 0]
145Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [64.26666397094726, 0]
146Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [60.266665344238284, 0]
147Meta-Train Tasks: [99.53333297729492, 0]
Meta-Val Tasks: [57.86666488647461, 0]
148Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [58.133330841064456, 0]
149Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.93333099365234, 0]
150Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.19999771118164, 0]
151Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.19999771118164, 0]
152Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.46666458129883, 0]
153Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.46666458129883, 0]
154Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.73333114624023, 0]
155Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.73333114624023, 0]
156Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.19999771118164, 0]
157Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.46666427612305, 0]
158Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.733330993652345, 0]
159Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
160Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
161Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
162Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
163Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
164Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
165Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
166Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.53333145141602, 0]
167Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.53333145141602, 0]
168Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.53333145141602, 0]
169Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.266664581298826, 0]
170Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.066664428710936, 0]
171Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.333330993652346, 0]
172Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.333330993652346, 0]
173Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
174Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
175Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
176Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
177Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
178Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
179Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
180Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
181Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
182Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.066664428710936, 0]
183Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.066664428710936, 0]
184Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.066664428710936, 0]
185Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
186Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
187Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.79999786376953, 0]
188Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.86666442871094, 0]
189Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.86666442871094, 0]
190Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.86666442871094, 0]
191Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.86666442871094, 0]
192Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.86666442871094, 0]
193Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.86666442871094, 0]
194Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.86666442871094, 0]
195Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.86666442871094, 0]
196Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
197Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
198Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
199Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [60.533331298828124, 0]
