65Meta-Train Tasks: [94.83333053588868, 0]
Meta-Val Tasks: [61.33333129882813, 0]
66Meta-Train Tasks: [91.99999694824218, 0]
Meta-Val Tasks: [61.33333129882813, 0]
67Meta-Train Tasks: [94.66666450500489, 0]
Meta-Val Tasks: [61.33333206176758, 0]
68Meta-Train Tasks: [93.83333015441895, 0]
Meta-Val Tasks: [62.666665649414064, 0]
69Meta-Train Tasks: [95.16666374206542, 0]
Meta-Val Tasks: [63.99999847412109, 0]
70Meta-Train Tasks: [94.49999809265137, 0]
Meta-Val Tasks: [63.99999847412109, 0]
71Meta-Train Tasks: [95.33333129882813, 0]
Meta-Val Tasks: [62.666665649414064, 0]
72Meta-Train Tasks: [94.83333053588868, 0]
Meta-Val Tasks: [62.666665649414064, 0]
73Meta-Train Tasks: [94.3333309173584, 0]
Meta-Val Tasks: [63.99999847412109, 0]
74Meta-Train Tasks: [94.49999771118163, 0]
Meta-Val Tasks: [63.99999847412109, 0]
75Meta-Train Tasks: [93.66666412353516, 0]
Meta-Val Tasks: [61.33333129882813, 0]
76Meta-Train Tasks: [96.33333129882813, 0]
Meta-Val Tasks: [62.666665649414064, 0]
77Meta-Train Tasks: [94.83333129882813, 0]
Meta-Val Tasks: [61.33333129882813, 0]
78Meta-Train Tasks: [95.49999771118163, 0]
Meta-Val Tasks: [61.33333129882813, 0]
79Meta-Train Tasks: [94.66666450500489, 0]
Meta-Val Tasks: [65.33333206176758, 0]
80Meta-Train Tasks: [95.9999984741211, 0]
Meta-Val Tasks: [65.33333206176758, 0]
81Meta-Train Tasks: [95.83333168029785, 0]
Meta-Val Tasks: [65.33333053588868, 0]
82Meta-Train Tasks: [95.49999732971192, 0]
Meta-Val Tasks: [66.6666648864746, 0]
83Meta-Train Tasks: [96.33333129882813, 0]
Meta-Val Tasks: [65.33333129882813, 0]
84Meta-Train Tasks: [95.8333309173584, 0]
Meta-Val Tasks: [63.99999847412109, 0]
85Meta-Train Tasks: [96.49999809265137, 0]
Meta-Val Tasks: [65.33333129882813, 0]
86Meta-Train Tasks: [95.49999809265137, 0]
Meta-Val Tasks: [61.33333129882813, 0]
87Meta-Train Tasks: [96.4999984741211, 0]
Meta-Val Tasks: [61.33333129882813, 0]
88Meta-Train Tasks: [95.66666450500489, 0]
Meta-Val Tasks: [61.33333129882813, 0]
89Meta-Train Tasks: [97.33333129882813, 0]
Meta-Val Tasks: [61.33333129882813, 0]
90Meta-Train Tasks: [97.83333168029785, 0]
Meta-Val Tasks: [62.666664123535156, 0]
91Meta-Train Tasks: [96.49999809265137, 0]
Meta-Val Tasks: [62.666664123535156, 0]
92Meta-Train Tasks: [97.49999809265137, 0]
Meta-Val Tasks: [62.666664123535156, 0]
93Meta-Train Tasks: [96.49999809265137, 0]
Meta-Val Tasks: [63.99999771118164, 0]
94Meta-Train Tasks: [97.4999984741211, 0]
Meta-Val Tasks: [61.33333206176758, 0]
95Meta-Train Tasks: [96.66666526794434, 0]
Meta-Val Tasks: [59.99999771118164, 0]
96Meta-Train Tasks: [98.16666526794434, 0]
Meta-Val Tasks: [59.99999771118164, 0]
97Meta-Train Tasks: [96.66666450500489, 0]
Meta-Val Tasks: [59.99999847412109, 0]
98Meta-Train Tasks: [97.66666526794434, 0]
Meta-Val Tasks: [59.99999847412109, 0]
99Meta-Train Tasks: [97.66666526794434, 0]
Meta-Val Tasks: [58.666665649414064, 0]
100Meta-Train Tasks: [97.9999984741211, 0]
