65Meta-Train Tasks: [98.95833206176758, 0]
Meta-Val Tasks: [73.33333206176758, 0]
66Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [73.33333206176758, 0]
67Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [73.33333206176758, 0]
68Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [73.33333206176758, 0]
69Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [73.33333206176758, 0]
70Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [71.99999771118163, 0]
71Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [71.99999771118163, 0]
72Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [71.99999771118163, 0]
73Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [71.99999771118163, 0]
74Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [71.99999771118163, 0]
75Meta-Train Tasks: [99.16666564941406, 0]
Meta-Val Tasks: [73.33333129882813, 0]
76Meta-Train Tasks: [98.95833244323731, 0]
Meta-Val Tasks: [71.99999771118163, 0]
77Meta-Train Tasks: [99.37499923706055, 0]
Meta-Val Tasks: [71.99999771118163, 0]
78Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [71.99999771118163, 0]
79Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999771118163, 0]
80Meta-Train Tasks: [99.79166641235352, 0]
Meta-Val Tasks: [71.99999771118163, 0]
81Meta-Train Tasks: [70.55555458068848, 0]
Meta-Val Tasks: [67.99999618530273, 0]
82Meta-Train Tasks: [79.25925846099854, 0]
Meta-Val Tasks: [67.99999618530273, 0]
83Meta-Train Tasks: [89.62962799072265, 0]
Meta-Val Tasks: [69.33333053588868, 0]
84Meta-Train Tasks: [94.07407264709472, 0]
Meta-Val Tasks: [69.33333129882813, 0]
85Meta-Train Tasks: [97.77777709960938, 0]
Meta-Val Tasks: [71.99999694824218, 0]
86Meta-Train Tasks: [97.9629623413086, 0]
Meta-Val Tasks: [74.66666412353516, 0]
87Meta-Train Tasks: [98.70370330810547, 0]
Meta-Val Tasks: [74.66666412353516, 0]
88Meta-Train Tasks: [98.51851806640624, 0]
Meta-Val Tasks: [74.66666412353516, 0]
89Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [74.66666412353516, 0]
90Meta-Train Tasks: [98.70370330810547, 0]
Meta-Val Tasks: [74.66666412353516, 0]
91Meta-Train Tasks: [98.88888854980469, 0]
Meta-Val Tasks: [74.66666412353516, 0]
92Meta-Train Tasks: [99.25925903320312, 0]
Meta-Val Tasks: [71.9999984741211, 0]
93Meta-Train Tasks: [99.0740737915039, 0]
Meta-Val Tasks: [73.33333129882813, 0]
94Meta-Train Tasks: [99.25925903320312, 0]
Meta-Val Tasks: [74.66666412353516, 0]
95Meta-Train Tasks: [99.0740737915039, 0]
Meta-Val Tasks: [74.66666412353516, 0]
96Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [74.66666412353516, 0]
97Meta-Train Tasks: [99.25925903320312, 0]
Meta-Val Tasks: [73.33332977294921, 0]
98Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666412353516, 0]
99Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666412353516, 0]
100Meta-Train Tasks: [99.25925903320312, 0]
Meta-Val Tasks: [74.66666412353516, 0]
101Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [73.33332977294921, 0]
102Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [73.33332977294921, 0]
103Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [71.99999694824218, 0]
104Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [71.99999694824218, 0]
105Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [71.99999694824218, 0]
106Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [71.99999694824218, 0]
107Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [74.66666412353516, 0]
108Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [73.33333129882813, 0]
109Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [73.33333129882813, 0]
110Meta-Train Tasks: [99.25925903320312, 0]
Meta-Val Tasks: [74.66666412353516, 0]
111Meta-Train Tasks: [98.88888854980469, 0]
Meta-Val Tasks: [74.66666412353516, 0]
112Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [74.66666412353516, 0]
113Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [73.33333129882813, 0]
114Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666412353516, 0]
115Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [74.66666412353516, 0]
116Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [74.66666564941406, 0]
117Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
118Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [74.66666564941406, 0]
119Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [74.66666564941406, 0]
120Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [74.66666564941406, 0]
121Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [73.33333129882813, 0]
122Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [73.33333129882813, 0]
123Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [73.33333129882813, 0]
124Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [73.33332977294921, 0]
125Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [73.33332977294921, 0]
126Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [74.66666412353516, 0]
127Meta-Train Tasks: [99.62962951660157, 0]
Meta-Val Tasks: [74.66666412353516, 0]
128Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666412353516, 0]
129Meta-Train Tasks: [99.25925903320312, 0]
Meta-Val Tasks: [74.66666412353516, 0]
130Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666412353516, 0]
131Meta-Train Tasks: [99.81481475830078, 0]
Meta-Val Tasks: [74.66666412353516, 0]
132Meta-Train Tasks: [68.4999979019165, 0]
Meta-Val Tasks: [69.33333129882813, 0]
133Meta-Train Tasks: [87.16666412353516, 0]
Meta-Val Tasks: [78.66666564941406, 0]
134Meta-Train Tasks: [95.83333053588868, 0]
Meta-Val Tasks: [75.9999984741211, 0]
135Meta-Train Tasks: [98.16666526794434, 0]
Meta-Val Tasks: [75.9999984741211, 0]
136Meta-Train Tasks: [98.33333206176758, 0]
Meta-Val Tasks: [75.9999984741211, 0]
137Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [74.66666412353516, 0]
138Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [74.66666412353516, 0]
139Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [71.99999694824218, 0]
140Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [71.99999694824218, 0]
141Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [73.33332977294921, 0]
142Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666412353516, 0]
143Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [73.33332977294921, 0]
144Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666259765626, 0]
145Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [73.33332977294921, 0]
146Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [74.66666412353516, 0]
147Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [75.99999694824218, 0]
148Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.99999694824218, 0]
149Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [79.99999694824218, 0]
150Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [78.66666412353516, 0]
151Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [77.33332977294921, 0]
152Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [75.99999694824218, 0]
153Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [75.99999694824218, 0]
154Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [77.33332977294921, 0]
155Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [77.33332977294921, 0]
156Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [78.66666412353516, 0]
157Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [78.66666412353516, 0]
158Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [78.66666412353516, 0]
159Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [75.99999542236328, 0]
160Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [77.33332977294921, 0]
161Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [75.99999542236328, 0]
162Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [77.33332977294921, 0]
163Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.99999694824218, 0]
164Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.99999694824218, 0]
165Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666259765626, 0]
166Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [75.99999542236328, 0]
167Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.99999542236328, 0]
168Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [75.99999542236328, 0]
169Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666259765626, 0]
170Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [75.99999694824218, 0]
171Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [74.66666412353516, 0]
172Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [73.33332977294921, 0]
173Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [74.66666412353516, 0]
174Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [73.33332977294921, 0]
175Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [71.99999694824218, 0]
176Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [71.99999694824218, 0]
177Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [71.99999694824218, 0]
178Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999694824218, 0]
179Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [71.99999694824218, 0]
180Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999694824218, 0]
181Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999694824218, 0]
182Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999694824218, 0]
183Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999694824218, 0]
184Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [71.99999694824218, 0]
185Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [73.33332977294921, 0]
186Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [73.33332977294921, 0]
187Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [73.33332977294921, 0]
188Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [71.99999694824218, 0]
189Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [73.33332977294921, 0]
190Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [74.66666259765626, 0]
191Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [74.66666412353516, 0]
192Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [77.33333129882813, 0]
193Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [77.33333129882813, 0]
194Meta-Train Tasks: [99.83333320617676, 0]
